#Receptor_resid	Ligand_resid
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
605	30
605	31
605	33
605	50
605	51
605	92
605	93
605	95
605	531
605	554
605	555
605	600
605	601
605	602
605	603
605	605
