#Receptor_resid	Ligand_resid
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
101	28
101	51
101	52
101	70
101	72
101	97
101	98
101	99
101	101
