#Receptor_resid	Ligand_resid
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
269	92
269	93
269	96
269	100
269	178
269	179
269	182
269	222
269	223
269	224
269	227
269	228
269	231
269	267
269	268
269	269
