#Receptor_resid	Ligand_resid
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
596	28
596	31
596	32
596	52
596	53
596	54
596	56
596	57
596	98
596	100
596	101
596	102
596	527
596	528
596	532
596	550
596	591
596	592
596	593
596	594
596	596
