#Receptor_resid	Ligand_resid
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
594	32
594	54
594	55
594	56
594	58
594	59
594	60
594	102
594	103
594	104
594	527
594	532
594	550
594	553
594	591
594	592
594	593
594	594
