#Receptor_resid	Ligand_resid
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
3048	251
3048	255
3048	259
3048	299
3048	302
3048	303
3048	307
3048	308
3048	310
3048	312
3048	314
3048	315
3048	316
3048	317
3048	318
3048	319
3048	320
3048	321
3048	324
3048	328
3048	332
3048	333
3048	336
3048	337
3048	340
3048	374
3048	377
3048	1006
3048	1007
3048	1009
3048	2083
3048	2084
3048	2087
3048	2088
3048	2160
3048	2161
3048	3033
3048	3044
3048	3045
3048	3046
3048	3047
3048	3048
3048	26
3048	59
3048	60
3048	61
3048	62
3048	66
3048	69
3048	70
3048	73
3048	74
3048	77
3048	214
3048	218
3048	221
3048	222
3048	225
3048	234
3048	237
3048	238
3048	240
3048	241
3048	247
3048	248
