#Receptor_resid	Ligand_resid
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
273	27
273	28
273	49
273	95
273	96
273	97
273	98
273	100
273	101
273	102
273	269
273	271
273	272
273	273
