#Receptor_resid	Ligand_resid
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
375	60
375	61
375	62
375	248
375	299
375	306
375	311
375	347
375	348
375	349
375	350
375	351
375	352
375	375
