#Receptor_resid	Ligand_resid
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
526	1
526	2
526	3
526	4
526	5
526	31
526	32
526	33
526	34
526	35
526	43
526	44
526	46
526	47
526	50
526	85
526	86
526	523
526	524
526	526
