#Receptor_resid	Ligand_resid
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
263	185
263	186
263	187
263	198
263	200
263	201
263	202
263	205
263	233
263	234
263	257
263	259
263	263
