#Receptor_resid	Ligand_resid
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
1531	674
1531	675
1531	1018
1531	1019
1531	1111
1531	1112
1531	1113
1531	1114
1531	1144
1531	1145
1531	1146
1531	1148
1531	1149
1531	1152
1531	1156
1531	1184
1531	1188
1531	1531
