#Receptor_resid	Ligand_resid
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
399	337
399	338
399	339
399	340
399	342
399	343
399	344
399	347
399	348
399	356
399	369
399	397
399	398
399	399
