#Receptor_resid	Ligand_resid
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
63	23
63	25
63	26
63	27
63	28
63	30
63	31
63	34
63	35
63	49
63	51
63	52
63	54
63	55
63	56
63	57
63	63
