#Receptor_resid	Ligand_resid
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
1613	1443
1613	1446
1613	1502
1613	1503
1613	1509
1613	1510
1613	1513
1613	1517
1613	1607
1613	1610
1613	1613
