#Receptor_resid	Ligand_resid
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
571	63
571	66
571	67
571	70
571	561
571	563
571	567
571	570
571	571
